Player,Rating,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90.1,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
R. Lewandowski,92,Barcelona,Bayern München,CF,34,45000000,2026-06-30,29,2602,41,35.49,6,3.46,18.71,34.38,Poland,Poland,right,185,81,no,2.11,2.66,40.26,4.22,45.9,0.07,0.11,0.03,0.97,1.49,1.38,4,0.14,0,0.0,4.19,1.42,33,1.14,1.23,5,0.17,135,4.67,50.37,30.37,0.21,1.07,29.03,0.42,41.67,0.59,17.65,0.1,2.63,36.84,7.92,27.51,6.54,1.14,0.59,18.85,1.56,0.97,21.65,77.0,4.67,66.67,4.98,93.75,6.5,75.53,19.75,80.39,0.9,53.85,15.02,18.94,0.12,0.86,0.14,0.1,1.38,40.0,0.76,1.97,71.93,2.08,53.33,1.31,28.95,1.45,0.31,1.87,72.22,0,,0,,0,0.0,0.0,0.0,,,0.03,,,0.21,0.21,50.0,0.0,9,88.889
M. Neuer,90,Bayern München,Bayern München,GK,36,12000000,2024-06-30,33,3154,0,0.0,0,0.34,0.4,71.43,Germany,Germany,right,193,93,no,1.97,0.11,0.0,0.17,100.0,0.03,0.04,0.0,1.94,2.93,0.03,1,0.03,0,0.0,0.03,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,100.0,0.09,100.0,0.0,0.0,0.0,20.75,0.37,0.06,29.05,91.06,14.15,84.68,0.03,0.0,14.07,98.38,22.03,96.76,6.93,74.07,28.48,43.11,0.01,0.03,0.0,0.0,0.0,0.0,0.03,0.97,52.94,0.03,0.0,0.2,14.29,0.0,0.0,5.51,68.91,42,1.2,130,3.71,9,67.69,44.57,1.27,2.57,0.073,0.0,0.34,0.17,,,,0.0,0,0.0
J. Kimmich,89,Bayern München,Bayern München,"RDMF, LDMF",27,80000000,2025-06-30,27,2316,4,2.42,9,7.56,16.55,53.76,Germany,Germany,right,177,75,no,9.05,6.14,55.06,1.59,51.22,0.39,0.61,0.16,5.28,8.31,0.74,4,0.16,0,0.0,2.64,0.16,4,0.16,0.09,1,0.04,36,1.4,36.11,11.111,0.35,1.32,44.12,0.31,62.5,0.97,40.0,0.35,1.98,47.06,6.1,54.78,1.13,2.14,1.2,53.01,0.35,1.67,71.81,87.61,22.34,79.65,8.7,94.64,31.4,92.08,62.02,91.98,8.47,62.39,20.31,37.43,0.29,2.29,0.19,0.16,1.24,50.0,0.85,13.37,77.03,4.39,60.18,2.53,33.85,1.9,0.58,11.62,85.28,0,,0,,0,0.0,0.0,0.0,,,1.2,,,1.28,0.04,0.0,5.36,0,0.0
E. Haaland,87,Manchester City,Borussia Dortmund,CF,22,170000000,2027-06-30,28,2544,27,21.2,6,3.8,15.85,39.29,England,"England, Norway",left,195,94,no,2.3,1.45,63.41,3.15,51.69,0.0,0.0,0.11,1.38,1.96,0.71,2,0.07,0,0.0,3.11,0.96,25,0.88,0.75,1,0.04,90,3.18,54.44,30.0,0.21,0.46,15.38,0.28,12.5,0.14,0.0,0.04,2.09,52.54,7.04,35.18,5.52,0.92,0.6,11.57,1.52,0.78,15.5,73.97,2.69,61.84,4.28,86.78,4.6,69.23,14.82,75.89,0.25,57.14,13.41,9.89,0.13,0.74,0.04,0.11,0.74,28.57,0.46,1.2,70.59,1.38,53.85,0.64,22.22,1.34,0.14,1.34,60.53,0,,0,,0,0.0,0.0,0.0,,,0.04,,,0.0,0.0,0.0,0.0,4,50.0
J. Sancho,87,Manchester United,Borussia Dortmund,"LAMF, RAMF",22,60000000,2026-06-30,26,2167,8,7.16,10,6.68,18.77,42.04,England,"England, Trinidad and Tobago",right,180,76,no,4.9,3.24,69.23,0.66,18.75,0.0,0.0,0.0,2.66,3.96,0.04,0,0.0,0,0.0,6.4,0.33,7,0.29,0.3,0,0.0,52,2.16,30.77,15.385,0.42,1.95,21.28,1.2,24.14,0.71,11.76,0.33,7.48,46.11,12.63,36.84,4.57,4.73,2.62,43.73,1.62,0.96,54.45,82.46,13.41,76.78,13.62,91.16,14.87,84.64,51.75,85.23,0.79,47.37,14.84,13.08,0.28,2.28,0.21,0.08,2.66,70.31,1.08,2.78,88.06,6.11,67.35,1.62,56.41,4.36,0.5,7.43,83.24,0,,0,,0,0.0,0.0,0.0,,,0.08,,,0.91,0.08,0.0,2.87,1,100.0
L. Goretzka,87,Bayern München,Bayern München,"LDMF, RDMF",27,65000000,2026-06-30,24,1802,5,4.78,5,2.3,17.28,59.54,Germany,Germany,right,189,82,no,10.39,6.24,62.4,3.4,60.29,0.7,1.07,0.1,5.79,8.83,1.35,2,0.1,0,0.0,2.25,0.25,5,0.25,0.24,1,0.05,35,1.75,34.29,14.286,0.25,0.9,33.33,0.15,33.33,0.75,33.33,0.35,1.6,56.25,3.15,52.38,2.55,1.25,0.7,35.81,0.6,0.9,50.79,89.28,11.84,75.95,7.69,96.1,22.67,93.39,46.2,92.65,3.7,60.81,18.36,37.24,0.11,0.8,0.1,0.0,0.75,60.0,0.6,7.19,81.25,2.45,53.06,1.15,39.13,1.65,0.3,5.59,83.93,0,,0,,0,0.0,0.0,0.0,,,0.9,,,0.0,0.0,0.0,0.0,0,0.0
T. Müller,87,Bayern München,Bayern München,AMF,33,18000000,2024-06-30,32,2823,11,7.13,15,10.67,22.19,39.51,Germany,Germany,right,185,76,no,6.38,5.93,52.69,4.65,33.56,0.45,0.68,0.1,2.81,4.27,0.7,0,0.0,0,0.0,3.73,0.35,10,0.32,0.23,3,0.1,45,1.43,42.22,24.444,0.48,3.7,37.07,1.12,48.57,2.55,32.5,0.32,2.17,39.71,6.89,31.94,5.55,0.89,0.51,33.03,2.87,0.73,45.3,76.14,11.41,67.32,9.66,91.42,14.54,74.34,39.4,80.83,2.45,57.14,17.17,35.45,0.34,2.17,0.1,0.03,1.91,46.67,1.4,4.69,67.35,4.81,50.33,1.72,38.89,2.65,1.21,6.54,84.88,0,,0,,0,0.0,0.0,0.0,,,0.35,,,0.0,0.0,0.0,0.26,1,100.0
M. Hummels,87,Borussia Dortmund,Borussia Dortmund,"LCB, CB",33,6500000,2023-06-30,33,2966,5,5.01,0,0.56,16.36,65.49,Germany,Germany,right,191,94,no,10.32,6.1,68.66,5.55,69.4,0.61,0.87,0.67,5.52,7.96,0.85,6,0.18,0,0.0,0.91,0.15,5,0.15,0.15,3,0.09,26,0.79,61.54,19.231,0.0,0.06,0.0,0.06,0.0,0.0,0.0,0.06,0.52,70.59,1.52,48.0,1.18,0.97,0.33,55.98,0.42,0.39,75.74,90.06,23.27,77.44,3.06,97.03,44.97,96.42,66.94,94.38,8.74,57.64,23.64,40.06,0.02,0.12,0.06,0.06,0.12,50.0,0.12,9.19,67.33,1.12,29.73,1.43,27.66,0.36,0.0,11.14,73.84,0,,0,,0,0.0,0.0,0.0,,,2.22,,,0.0,0.0,0.0,0.0,0,0.0
K. Coman,86,Bayern München,Bayern München,"LAMF, RAMF",26,60000000,2027-06-30,29,1847,5,5.09,8,6.11,24.9,50.49,France,"France, Guadeloupe",right,181,75,no,4.92,4.48,63.04,2.14,31.82,0.0,0.0,0.0,2.1,3.2,0.58,1,0.05,0,0.0,8.58,0.24,5,0.24,0.25,1,0.05,50,2.44,36.0,10.0,0.39,5.07,40.38,3.41,41.43,1.61,36.36,0.68,9.01,60.54,15.93,49.54,5.26,3.56,1.27,29.82,3.41,1.61,40.15,82.28,5.85,74.17,11.74,92.53,14.57,80.27,33.82,88.9,1.46,73.33,18.18,28.18,0.3,2.0,0.05,0.1,0.58,33.33,1.32,1.27,88.46,4.43,54.95,0.39,37.5,1.66,2.0,4.19,77.91,0,,0,,0,0.0,0.0,0.0,,,0.1,,,0.0,0.0,0.0,0.0,0,0.0
L. Sané,85,Bayern München,Bayern München,"RAMF, RW",26,70000000,2025-06-30,32,1915,6,6.38,8,6.63,25.66,42.49,Germany,"Germany, France",left,183,80,no,6.44,5.36,58.77,1.27,37.04,0.05,0.07,0.05,3.24,5.06,0.66,2,0.09,0,0.0,6.91,0.28,6,0.28,0.3,0,0.0,57,2.68,36.84,10.526,0.38,3.01,29.69,0.52,27.27,2.49,30.19,0.66,8.32,54.8,15.65,39.34,5.31,3.76,1.88,27.73,2.3,0.99,36.05,77.44,6.77,69.44,9.49,93.07,12.5,73.68,31.91,82.62,1.41,50.0,16.66,23.72,0.31,1.46,0.19,0.09,1.5,31.25,0.99,2.54,74.07,4.04,55.81,1.03,22.73,2.35,0.85,4.46,82.11,0,,0,,0,0.0,0.0,0.0,,,0.33,,,0.09,0.0,0.0,1.55,0,0.0
