Match;Competition;Date;Position;Minutes played;Total actions / successful;;Goals;Assists;Shots / on target;;xG;Passes / accurate;;Long passes / accurate;;Crosses / accurate;;Dribbles / successful;;Duels / won;;Aerial duels / won;;Interceptions;Losses / own half;;Recoveries / opp. half;;Yellow card;Red card;Defensive duels / won;;Loose ball duels / won;;Sliding tackles / successful;;Clearances;Fouls;Yellow cards;Red cards;Shot assists;Offensive duels / won;;Touches in penalty area;Offsides;Progressive runs;Fouls suffered;Through passes / accurate;;xA;Second assists;Passes to final third / accurate;;Passes to penalty area / accurate;;Received passes;Forward passes / accurate;;Back passes / accurate;;Conceded goals;xCG;Shots against;Saves / with reflexes;;Exits;Passes to GK / accurate;;Goal kicks;Short goal kicks;Long goal kicks
Barcelona - Celta de Vigo 1:2;Spain. LaLiga;2021-05-16;CF;94;117;76;1;0;7;2;0,84;63;53;8;5;2;0;13;7;31;15;1;0;2;15;1;3;3;0;0;2;2;0;0;0;0;0;0;0;0;4;28;13;11;0;7;1;3;1;0,69;0;9;9;6;4;50;21;17;14;14;0;0;0;0;0;0;0;0;0;0;0
Levante - Barcelona 3:3;Spain. LaLiga;2021-05-11;CF;95;75;47;1;0;6;1;0,42;44;35;4;2;1;1;8;4;15;7;1;0;0;5;1;5;5;0;0;0;0;1;0;0;0;0;0;0;0;2;13;7;4;1;2;3;4;2;0,29;0;5;4;6;4;36;17;12;7;6;0;0;0;0;0;0;0;0;0;0;0
Barcelona - Atlético Madrid 0:0;Spain. LaLiga;2021-05-08;CF;97;92;70;0;0;2;1;0,12;49;42;3;2;1;1;14;11;29;18;1;0;1;13;2;4;3;0;0;1;1;4;1;0;0;0;0;0;0;3;23;16;2;0;10;9;4;1;0,36;0;7;5;3;2;42;14;11;7;6;0;0;0;0;0;0;0;0;0;0;0
Valencia - Barcelona 2:3;Spain. LaLiga;2021-05-02;CF;95;125;84;2;0;5;3;1,71;81;65;5;3;2;1;4;3;21;8;0;0;2;16;2;1;1;0;0;4;3;3;1;0;0;0;1;0;0;1;14;4;4;0;4;3;2;0;0,34;0;19;14;8;7;68;28;19;11;10;0;0;0;0;0;0;0;0;0;0;0
Barcelona - Granada 1:2;Spain. LaLiga;2021-04-29;AMF, CF;95;122;88;1;0;6;2;0,53;75;64;3;2;5;4;18;12;32;16;0;0;0;13;0;0;0;0;0;1;1;3;1;0;0;0;0;0;0;1;28;14;5;0;10;6;3;0;0,08;0;10;9;11;8;67;20;16;3;3;0;0;0;0;0;0;0;0;0;0;0
Villarreal - Barcelona 1:2;Spain. LaLiga;2021-04-25;CF;96;89;60;0;0;3;1;0,35;46;42;1;1;0;0;8;6;30;13;1;0;0;10;3;6;3;0;0;3;0;2;2;1;1;0;0;0;0;0;24;11;2;0;4;5;3;1;0;0;5;5;4;1;33;14;13;9;9;0;0;0;0;0;0;0;0;0;0;0
Barcelona - Getafe 5:2;Spain. LaLiga;2021-04-22;CF;94;87;62;2;1;8;4;1,25;50;41;2;1;0;0;6;4;19;11;0;0;0;16;1;2;2;0;0;4;2;0;0;0;0;0;0;0;0;1;15;9;7;0;7;4;6;2;0,32;0;8;4;5;4;48;23;17;5;4;0;0;0;0;0;0;0;0;0;0;0
Real Madrid - Barcelona 2:1;Spain. LaLiga;2021-04-10;AMF, CF;97;114;81;0;0;5;2;0,33;64;58;2;2;4;2;14;8;33;13;0;0;1;13;1;1;0;0;0;2;0;8;2;1;0;0;1;0;0;2;23;11;5;0;6;3;4;1;0,55;1;7;6;10;6;53;19;17;9;9;0;0;0;0;0;0;0;0;0;0;0
Barcelona - Real Valladolid 1:0;Spain. LaLiga;2021-04-05;CF;96;98;56;0;0;6;2;0,14;51;43;1;1;1;0;10;2;29;5;1;0;0;18;0;2;2;0;0;3;0;2;2;0;0;0;1;0;0;3;23;3;1;0;7;2;2;2;0,12;0;6;6;7;3;40;13;10;11;11;0;0;0;0;0;0;0;0;0;0;0
Real Sociedad - Barcelona 1:6;Spain. LaLiga;2021-03-21;RWF, CF;96;121;80;2;1;5;3;0,7;71;62;3;0;0;0;7;1;30;11;0;0;2;14;2;2;2;0;0;5;5;2;1;0;0;0;1;0;0;2;23;5;4;0;5;1;9;4;0,22;0;12;10;10;7;60;22;19;16;16;0;0;0;0;0;0;0;0;0;0;0
Barcelona - Huesca 4:1;Spain. LaLiga;2021-03-15;CF, RWF;96;137;101;2;1;6;2;0,27;92;80;0;0;1;1;16;11;28;15;0;0;1;20;1;2;2;0;0;1;0;2;1;0;0;0;1;0;0;3;25;14;1;0;4;4;7;5;0,23;0;18;16;8;7;82;33;26;9;8;0;0;0;0;0;0;0;0;0;0;0
Osasuna - Barcelona 0:2;Spain. LaLiga;2021-03-06;CF;94;101;73;0;1;5;2;0,45;72;62;5;2;1;1;6;5;10;5;0;0;0;9;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;6;8;5;4;1;9;0;6;3;0,44;0;11;10;9;5;68;21;17;11;10;0;0;0;0;0;0;0;0;0;0;0
Sevilla - Barcelona 0:2;Spain. LaLiga;2021-02-27;CF;95;104;75;1;1;3;2;1,25;61;54;2;1;4;2;9;7;31;17;2;0;2;12;3;4;3;42;0;5;2;0;0;0;0;0;2;1;0;1;24;15;4;0;7;4;2;0;0,18;0;11;10;7;5;50;20;16;12;12;0;0;0;0;0;0;0;0;0;0;0
Barcelona - Elche 3:0;Spain. LaLiga;2021-02-24;CF;94;105;71;2;0;3;2;1,14;65;56;5;2;0;0;11;7;18;9;0;0;2;14;0;1;1;0;0;1;1;2;0;0;0;0;0;0;0;1;15;8;4;0;4;1;5;1;0,46;2;10;7;8;4;57;21;13;18;18;0;0;0;0;0;0;0;0;0;0;0
Barcelona - Cádiz 1:1;Spain. LaLiga;2021-02-21;CF;97;129;88;1;0;8;3;1,75;88;74;1;0;2;0;10;4;18;7;1;1;2;16;0;2;2;0;0;0;0;2;1;0;0;0;1;0;0;2;15;5;8;0;7;0;3;1;0,2;0;9;8;13;8;75;29;24;14;14;0;0;0;0;0;0;0;0;0;0;0
Barcelona - Deportivo Alavés 5:1;Spain. LaLiga;2021-02-13;CF;93;112;78;2;0;7;5;0,69;71;60;2;1;1;0;9;7;23;10;1;0;0;13;1;0;0;0;0;2;1;4;0;1;0;0;2;0;0;1;16;9;4;0;8;3;6;3;0,37;1;8;6;5;2;68;14;10;13;11;0;0;0;0;0;0;0;0;0;0;0
Real Betis - Barcelona 2:3;Spain. LaLiga;2021-02-07;AMF;38;33;21;1;0;2;1;0,1;20;17;3;2;0;0;4;1;10;3;0;0;0;5;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;10;3;2;0;1;2;3;2;0,06;0;5;5;5;4;17;11;10;2;2;0;0;0;0;0;0;0;0;0;0;0
Barcelona - Athletic Club 2:1;Spain. LaLiga;2021-01-31;CF;96;111;73;1;0;3;2;0,92;56;47;3;3;1;0;13;5;33;19;1;1;2;13;1;3;2;0;0;2;1;4;3;0;0;0;1;0;0;2;26;14;5;0;10;5;5;0;0,41;0;12;12;6;3;41;25;18;8;8;0;0;0;0;0;0;0;0;0;0;0
Granada - Barcelona 0:4;Spain. LaLiga;2021-01-09;CF;66;78;61;2;0;2;2;0,42;58;51;0;0;0;0;4;1;12;5;0;0;1;11;1;1;1;0;0;0;0;2;0;0;0;0;0;0;0;0;10;5;3;0;2;2;2;0;0;0;9;8;4;1;51;18;14;15;15;0;0;0;0;0;0;0;0;0;0;0
Athletic Club - Barcelona 2:3;Spain. LaLiga;2021-01-06;CF;95;125;75;2;0;5;2;0,58;67;57;6;4;1;0;8;2;28;12;0;0;2;12;1;3;1;0;0;6;4;4;1;0;0;0;1;0;0;1;18;7;6;2;7;2;8;4;0,02;1;8;7;8;4;56;17;14;12;12;0;0;0;0;0;0;0;0;0;0;0
Huesca - Barcelona 0:1;Spain. LaLiga;2021-01-03;RWF;92;137;91;0;1;8;2;0,46;87;73;4;0;2;1;16;10;33;16;0;0;2;18;0;3;3;0;0;3;0;1;1;0;0;0;0;0;0;1;29;15;4;1;3;3;9;1;0,29;0;11;11;13;3;74;26;14;9;9;0;0;0;0;0;0;0;0;0;0;0
