Date;Match;Competition;Duration;Team;Scheme;Goals;xG;Shots / on target;;;Passes / accurate;;;Possession, %;Losses / Low / Medium / High;;;;Recoveries / Low / Medium / High;;;;Duels / won;;;Shots from outside penalty area / on target;;;Positional attacks / with shots;;;Counterattacks / with shots;;;Set pieces / with shots;;;Corners / with shots;;;Free kicks / with shots;;;Penalties / converted;;;Crosses / accurate;;;Deep completed crosses;Deep completed passes;Penalty area entries (runs / crosses);;;Touches in penalty area;Offensive duels / won;;;Offsides;Conceded goals;Shots against / on target;;;Defensive duels / won;;;Aerial duels / won;;;Sliding tackles / successful;;;Interceptions;Clearances;Fouls;Yellow cards;Red cards;Forward passes / accurate;;;Back passes / accurate;;;Lateral passes / accurate;;;Long passes / accurate;;;Passes to final third / accurate;;;Progressive passes / accurate;;;Smart passes / accurate;;;Throw ins / accurate;;;Goal kicks;Match tempo;Average passes per possession;Long pass %;Average shot distance;Average pass length;PPDA
PSG;;;;;;2,47;2,22;15,18;6,47;42,63;656,45;596,76;90,91;62,07;81,45;14,16;23,63;43,66;68,55;27,05;27,79;13,71;178,37;87,58;49,10;5,05;1,34;26,56;33,84;8,82;26,05;2,55;1,16;45,36;25,53;4,05;15,88;5,50;1,89;34,45;1,74;0,32;18,18;0,26;0,21;80,00;9,89;3,58;36,17;3,37;15,08;29,16;5,55;5,45;26,11;77,47;33,16;42,80;2,58;0,87;10,11;3,92;38,80;59,47;36,03;60,58;15,45;8,16;52,81;4,66;2,32;49,72;34,34;8,71;9,21;2,16;0,11;182,61;155,76;85,30;98,45;93,39;94,87;253,61;239,18;94,31;27,63;17,45;63,14;66,95;57,58;86,01;72,26;57,63;79,75;12,03;5,16;42,89;15,66;14,97;95,63;6,50;18,66;7,01;4,24;17,04;16,69;10,16
Opponents;;;;;;0,87;1,11;10,11;3,71;36,72;380,26;325,18;85,52;37,93;80,18;18,97;28,89;32,32;61,58;32,92;19,92;8,74;178,37;85,61;47,99;4,71;1,26;26,82;22,13;6,05;27,35;3,53;1,32;37,31;22,45;2,34;10,43;3,55;0,84;23,70;1,45;0,29;20,00;0,11;0,08;75,00;10,45;3,55;34,01;3,45;4,87;17,97;3,92;6,13;13,42;59,47;23,45;39,42;1,95;2,47;15,18;6,71;44,19;77,47;44,29;57,17;15,45;6,58;42,59;4,68;2,21;47,19;40,71;12,92;11,84;1,82;0,11;118,11;90,68;76,78;58,61;55,32;94,39;134,32;119,61;89,05;33,05;20,03;60,59;39,45;28,42;72,05;53,66;35,76;66,65;5,21;1,45;27,78;12,16;11,55;95,02;8,61;17,54;4,37;8,99;19,82;18,07;18,86
2022-09-18;Olympique Lyonnais - PSG 0:1;France. Ligue 1;94;PSG;3-4-3 (100.0%);1;2,1;14;8;57,14;773;717;92,76;64,21;91;18;30;43;75;39;24;12;192;89;46,35;2;2;100;32;7;21,88;1;1;100;31;5;16,13;7;1;14,29;1;0;0;0;0;0;6;1;16,67;1;16;28;11;2;31;101;38;37,62;3;0;12;3;25;59;35;59,32;12;8;66,67;3;1;33,33;42;6;4;2;0;195;167;85,64;122;120;98,36;292;280;95,89;36;21;58,33;77;66;85,71;80;57;71,25;8;3;37,5;11;10;90,91;7;19,5;7,97;4,66;15,32;16,35;13,35
2022-09-18;Olympique Lyonnais - PSG 0:1;France. Ligue 1;94;Olympique Lyonnais;4-4-2 (100.0%);0;1,46;12;3;25;430;367;85,35;35,79;83;17;25;41;68;31;22;15;192;98;51,04;2;0;0;34;10;29,41;0;0;0;13;2;15,38;3;0;0;1;0;0;0;0;0;16;6;37,5;6;12;32;6;12;25;59;24;40,68;3;1;14;8;57,14;101;62;61,39;12;4;33,33;4;1;25;44;11;14;0;0;139;111;79,86;56;52;92,86;162;146;90,12;27;16;59,26;48;35;72,92;68;51;75;5;2;40;12;11;91,67;3;19,46;5,31;6,28;15,11;17,79;14,61
2022-09-10;PSG - Brest 1:0;France. Ligue 1;97;PSG;3-4-3 (100.0%);1;2,3;14;4;28,57;645;595;92,25;60,16;87;14;39;34;77;26;35;16;202;100;49,5;2;0;0;31;8;25,81;1;1;100;25;5;20;3;2;66,67;1;0;0;0;0;0;4;1;25;1;14;23;5;0;29;83;36;43,37;3;0;6;4;66,67;55;39;70,91;25;15;60;4;0;0;36;13;13;4;0;184;156;84,78;100;95;95;211;204;96,68;31;23;74,19;58;49;84,48;66;52;78,79;12;6;50;17;15;88,24;5;18,35;6,79;4,81;13,77;15,12;9,56
2022-09-10;PSG - Brest 1:0;France. Ligue 1;97;Brest;5-4-1 (100.0%);0;1,05;6;3;50;412;351;85,19;39,84;78;20;34;24;73;30;38;5;202;89;44,06;4;2;50;21;3;14,29;3;0;0;28;2;7,14;5;0;0;2;1;50;1;0;0;11;4;36,36;3;2;12;2;6;8;55;16;29,09;1;1;14;4;28,57;83;47;56,63;25;8;32;4;2;50;41;15;16;2;0;123;90;73,17;69;65;94,2;138;125;90,58;38;20;52,63;41;30;73,17;61;40;65,57;4;2;50;11;11;100;12;17,7;4,58;9,22;20,6;18,67;16,22
2022-09-03;Nantes - PSG 0:3;France. Ligue 1;97;PSG;3-4-1-2 (100.0%);3;3,86;18;7;38,89;674;613;90,95;57,52;98;12;25;61;74;29;28;17;205;97;47,32;3;0;0;41;12;29,27;1;1;100;23;4;17,39;7;2;28,57;2;0;0;0;0;0;9;3;33,33;4;36;42;8;4;49;77;31;40,26;1;0;7;1;14,29;79;45;56,96;23;11;47,83;1;1;100;23;4;12;4;0;195;172;88,21;98;93;94,9;237;222;93,67;25;22;88;74;70;94,59;84;73;86,9;16;7;43,75;16;15;93,75;10;19,51;7,75;3,71;13,97;15,74;15,73
2022-09-03;Nantes - PSG 0:3;France. Ligue 1;97;Nantes;5-4-1 (28.7%);0;0,58;7;1;14,29;457;400;87,53;42,48;85;20;29;36;84;51;23;10;205;105;51,22;4;0;0;26;5;19,23;2;0;0;17;2;11,76;1;0;0;0;0;0;0;0;0;10;3;30;5;4;13;2;7;9;79;34;43,04;1;3;18;7;38,89;77;46;59,74;23;11;47,83;3;2;66,67;54;11;6;1;1;137;109;79,56;61;59;96,72;189;169;89,42;45;24;53,33;56;43;76,79;59;40;67,8;2;1;50;3;3;100;4;17,91;5,38;9,85;23,67;19,59;22,5
2022-08-31;Toulouse - PSG 0:3;France. Ligue 1;96;PSG;3-4-3 (89.48%);3;2,8;21;13;61,9;587;529;90,12;60,42;79;16;26;37;72;28;28;16;134;62;46,27;4;2;50;34;12;35,29;0;0;0;32;7;21,88;9;3;33,33;2;0;0;0;0;0;6;4;66,67;3;22;33;4;1;28;78;27;34,62;1;0;14;7;50;27;22;81,48;10;7;70;5;3;60;32;7;7;0;0;174;144;82,76;77;73;94,81;188;177;94,15;23;15;65,22;57;48;84,21;68;54;79,41;15;5;33,33;18;18;100;12;18,71;5,81;3,92;15,89;15,06;9,24
2022-08-31;Toulouse - PSG 0:3;France. Ligue 1;96;Toulouse;3-4-3 (100.0%);0;0,79;14;7;50;362;310;85,64;39,58;74;17;26;31;58;35;17;6;134;67;50;7;3;42,86;29;11;37,93;3;1;33,33;24;1;4,17;3;1;33,33;1;0;0;0;0;0;8;3;37,5;3;7;15;3;6;16;27;5;18,52;1;3;21;13;61,9;78;51;65,38;10;2;20;4;4;100;38;11;10;1;0;114;90;78,95;50;46;92;127;114;89,76;24;16;66,67;47;34;72,34;55;39;70,91;4;2;50;12;11;91,67;13;17,61;3,85;6,63;21,52;17,73;15,08
